,cell_line_name,compound_name,time,1,2
DMSO AVG,EFM192A,DMSO,24hr,7.799073740800231,0.7748703248924911
MK2206 AVG,EFM192A,MK2206,24hr,7.413005864478613,-1.420718887059812
REASON,,,,P-Value,P-Value and Sign change
-,,,,,
DMSO AVG,EFM192A,DMSO,24hr,,0.7748703248924911
PICTILISIB AVG,EFM192A,PICTILISIB,24hr,,-1.0830243709152039
REASON,,,,,P-Value and Sign change
-,,,,,
DMSO AVG,EFM192A,DMSO,24hr,7.799073740800231,
TAMOXIFEN AVG,EFM192A,TAMOXIFEN,24hr,8.02814661142872,
REASON,,,,P-Value,
-,,,,,
DMSO AVG,EFM192A,DMSO,24hr,,0.7748703248924911
FULVESTRANT AVG,EFM192A,FULVESTRANT,24hr,,1.0114228960418894
REASON,,,,,P-Value
