,cell_line_name,compound_name,time,13,8,5
DMSO AVG,MCF7,DMSO,24hrs,-1.652254515209202,,
GLEEVEC AVG,MCF7,GLEEVEC,24hrs,-1.8756578303990652,,
REASON,,,,Emerging process,,
-,,,,,,
DMSO AVG,MCF7,DMSO,48hrs,-1.3498796871120582,2.367332076668455,
GLEEVEC AVG,MCF7,GLEEVEC,48hrs,-1.7715430694828742,1.627694290384018,
REASON,,,,Emerging process,Disappearing process,
-,,,,,,
GLEEVEC AVG,MCF7,GLEEVEC,24hrs,,2.141876462564435,-1.7090649651975454
GLEEVEC AVG,MCF7,GLEEVEC,48hrs,,1.627694290384018,-2.1456392830570223
REASON,,,,,Disappearing process,Emerging process
